"index","customer_id","customer_state","highest_education","employment_status","gender","income","residence_type","marital_status","sales_channel","coverage","policy","vehicle_class","vehicle_size","monthly_premium","months_policy_active","months_since_last_claim","current_claim_amount","total_claims","total_claims_amount","customer_lifetime_value"
"30","AE60813","Oregon","Associate","Employed","Female","75090","Rural","Married","Branch","Basic","Personal","Four-Door Car","Midsize","63","26","10","1344","3","2330","-692"
"31","AE62631","Oregon","Bachelor","Employed","Male","20662","Suburban","Married","Agent","Basic","Personal","Two-Door Car","Midsize","72","36","10","2210","2","2928","-336"
"32","AE74442","California","Bachelor","Employed","Female","61584","Urban","Married","Agent","Basic","Corporate","Four-Door Car","Midsize","61","42","18","2269","3","3611","-1049"
"33","AE89300","Arizona","Bachelor","Employed","Female","82634","Urban","Single","Agent","Basic","Personal","SUV","Midsize","104","37","8","1817","3","3071","777"
"34","AE90216","California","Bachelor","Employed","Male","75644","Suburban","Divorced","Branch","Basic","Personal","Two-Door Car","Midsize","65","36","5","2040","2","2775","-435"
"35","AF10970","Arizona","Bachelor","Employed","Female","96163","Suburban","Married","Call Center","Basic","Corporate","Four-Door Car","Midsize","73","47","23","1099","2","1906","1525"
"36","AF17671","Washington","Bachelor","Employed","Female","56337","Suburban","Married","Web","Extended","Personal","Four-Door Car","Midsize","97","40","26","1230","3","2860","1020"
"37","AF20716","Oregon","Bachelor","Employed","Male","74241","Rural","Married","Agent","Basic","Personal","Two-Door Car","Midsize","61","41","21","1737","2","2525","-24"
"38","AF36894","California","Bachelor","Employed","Male","33640","Suburban","Married","Agent","Basic","Corporate","SUV","Midsize","113","45","20","1867","2","2631","2454"
"39","AF37776","California","Bachelor","Employed","Female","80192","Rural","Married","Call Center","Extended","Personal","SUV","Large","129","23","8","1268","2","2066","901"
"40","AF41118","California","Associate","Medical Leave","Male","10710","Suburban","Married","Branch","Extended","Personal","Two-Door Car","Small","94","26","12","1519","2","2409","35"
"41","AF48816","Arizona","Bachelor","Employed","Female","87382","Suburban","Married","Web","Basic","Personal","Four-Door Car","Large","72","52","26","1195","3","2913","831"
"42","AF49625","Oregon","Bachelor","Employed","Female","75838","Urban","Single","Agent","Extended","Corporate","Two-Door Car","Small","90","20","6","1652","3","3280","-1480"
"43","AF69537","Arizona","Associate","Employed","Male","59630","Suburban","Married","Agent","Premium","Personal","SUV","Midsize","185","43","9","2126","2","3129","4826"
"44","AF81450","California","High School","Disabled","Male","28657","Suburban","Married","Branch","Basic","Personal","SUV","Small","100","33","4","1388","3","2630","670"
"45","AG32304","Nevada","Associate","Employed","Female","39133","Rural","Married","Call Center","Basic","Personal","Four-Door Car","Midsize","67","37","25","1350","2","2252","227"
"46","AG45299","California","Associate","Employed","Male","76763","Rural","Divorced","Web","Basic","Personal","SUV","Small","108","24","12","2822","3","4950","-2358"
"47","AG47947","Washington","High School","Employed","Female","81872","Rural","Married","Web","Premium","Personal","Four-Door Car","Midsize","115","27","10","1133","2","1817","1288"
"48","AG58599","Oregon","High School","Employed","Female","26004","Suburban","Married","Web","Basic","Personal","Four-Door Car","Midsize","70","35","12","1532","2","2594","-144"
"49","AG62087","California","Bachelor","Employed","Male","30335","Urban","Married","Agent","Extended","Corporate","Four-Door Car","Midsize","87","36","17","2132","2","2960","172"
"50","AG62140","California","Associate","Employed","Female","33716","Suburban","Married","Agent","Basic","Personal","Four-Door Car","Small","68","43","18","1337","4","3296","-372"
"51","AG85127","Oregon","Bachelor","Employed","Male","61409","Urban","Married","Web","Basic","Special","Four-Door Car","Midsize","68","50","30","1772","3","3376","24"
"52","AH17051","California","Bachelor","Employed","Male","29695","Suburban","Married","Branch","Extended","Personal","Four-Door Car","Midsize","94","50","34","2419","3","3127","1573"
"53","AH22694","California","Doctoral","Employed","Male","24317","Suburban","Married","Call Center","Basic","Corporate","Four-Door Car","Midsize","73","19","2","1379","3","3941","-2554"
"54","AH39293","California","Associate","Employed","Male","72302","Suburban","Divorced","Agent","Basic","Personal","Two-Door Car","Midsize","66","25","6","1903","2","2605","-955"
"55","AH41065","Washington","High School","Employed","Male","58851","Suburban","Married","Web","Extended","Personal","Four-Door Car","Midsize","79","25","11","1653","2","2352","-377"
"56","AH41449","Nevada","Associate","Employed","Male","24666","Rural","Married","Branch","Basic","Personal","Sports Car","Midsize","101","63","32","1937","2","2649","3714"
"57","AH53588","California","Associate","Retired","Male","26802","Suburban","Married","Agent","Basic","Personal","Two-Door Car","Midsize","66","26","7","1805","4","5606","-3890"
"58","AH55475","Arizona","Associate","Employed","Male","44246","Suburban","Married","Web","Extended","Personal","SUV","Small","122","16","1","2182","2","2880","-928"
"59","AH58807","Arizona","Associate","Employed","Female","84650","Urban","Married","Agent","Basic","Personal","Luxury Car","Midsize","185","42","13","1924","2","2615","5155"
"60","AH65907","California","Bachelor","Employed","Female","51790","Suburban","Married","Agent","Basic","Personal","Four-Door Car","Large","71","25","12","1588","2","2367","-592"
"61","AH84063","Oregon","Associate","Employed","Female","89642","Rural","Married","Call Center","Extended","Corporate","SUV","Midsize","121","29","11","1170","2","1831","1678"
"62","AH89786","Oregon","High School","Retired","Male","16997","Suburban","Married","Branch","Basic","Personal","Two-Door Car","Midsize","65","65","35","1700","3","2974","1251"
"63","AH92481","California","Associate","Employed","Female","53219","Suburban","Married","Call Center","Basic","Corporate","SUV","Midsize","117","38","24","1359","2","2212","2234"
"64","AH97088","Nevada","High School","Employed","Male","84417","Rural","Divorced","Agent","Extended","Personal","Two-Door Car","Midsize","98","28","5","2564","2","3551","-807"
"65","AH99727","Arizona","Bachelor","Disabled","Female","11612","Suburban","Married","Branch","Basic","Personal","Four-Door Car","Midsize","71","40","20","1159","3","3335","-495"
"66","AI11191","Arizona","High School","Employed","Female","77853","Rural","Single","Branch","Basic","Personal","SUV","Midsize","106","35","12","1517","2","2389","1321"
"67","AI14767","California","High School","Employed","Female","37455","Suburban","Married","Call Center","Basic","Personal","SUV","Small","114","43","13","1171","2","2055","2847"
"68","AI47152","Nevada","Associate","Employed","Female","35434","Urban","Married","Agent","Basic","Personal","Four-Door Car","Midsize","66","49","19","1899","2","2685","549"
"69","AI49188","Nevada","Bachelor","Employed","Female","48767","Suburban","Married","Agent","Premium","Personal","Two-Door Car","Midsize","108","42","18","1186","2","1577","2959"
"70","AI58313","Nevada","Associate","Employed","Female","75425","Suburban","Divorced","Call Center","Basic","Personal","Sports Car","Midsize","116","42","25","1270","4","2851","2021"
"71","AI58500","Arizona","Associate","Employed","Female","26554","Suburban","Married","Web","Basic","Personal","Two-Door Car","Small","68","40","18","1285","2","1864","856"
"72","AI61368","Nevada","High School","Medical Leave","Female","22510","Suburban","Single","Web","Extended","Personal","Four-Door Car","Small","95","45","19","1145","2","1750","2525"
"73","AI74959","California","High School","Employed","Male","25927","Suburban","Single","Web","Basic","Personal","SUV","Midsize","103","25","6","1889","2","2822","-247"
"74","AI85843","Arizona","Master","Employed","Female","33288","Urban","Married","Branch","Extended","Personal","Four-Door Car","Midsize","86","27","1","1676","2","2673","-351"
"75","AJ32539","Oregon","Bachelor","Employed","Male","25860","Suburban","Married","Web","Basic","Personal","Four-Door Car","Midsize","72","28","12","2135","4","4313","-2297"
"76","AJ69778","Oregon","High School","Employed","Female","77135","Rural","Divorced","Web","Extended","Personal","Four-Door Car","Midsize","84","35","3","1470","2","2380","560"
"77","AJ89107","Arizona","High School","Employed","Male","27072","Suburban","Married","Branch","Extended","Personal","Four-Door Car","Large","93","56","24","1893","2","2786","2422"
"78","AJ89108","California","Bachelor","Employed","Female","51643","Suburban","Single","Agent","Premium","Personal","Luxury Car","Midsize","283","49","16","1060","3","1946","11921"
"79","AK11669","Arizona","Doctoral","Employed","Female","59232","Suburban","Divorced","Branch","Extended","Corporate","Two-Door Car","Midsize","85","20","6","1241","2","1924","-224"
"80","AK46006","Oregon","Bachelor","Medical Leave","Male","18047","Suburban","Married","Call Center","Extended","Personal","Luxury SUV","Midsize","242","29","5","1169","3","2991","4027"
"81","AK54675","California","Bachelor","Employed","Female","84863","Suburban","Divorced","Call Center","Extended","Corporate","SUV","Large","138","40","28","1195","2","1981","3539"
"82","AK59340","California","High School","Employed","Male","42360","Rural","Single","Branch","Basic","Corporate","Four-Door Car","Midsize","71","55","29","1826","2","2847","1058"
"83","AK72422","California","Associate","Disabled","Male","21070","Suburban","Divorced","Call Center","Premium","Corporate","Sports Car","Small","195","18","6","1601","2","2880","630"
"84","AL21967","Oregon","Master","Employed","Male","74243","Rural","Married","Call Center","Extended","Corporate","Four-Door Car","Midsize","84","69","34","1762","2","2765","3031"
"85","AL27471","Oregon","Doctoral","Employed","Male","30821","Urban","Married","Web","Extended","Personal","Four-Door Car","Midsize","97","59","27","1748","2","2350","3373"
"86","AL43475","California","Associate","Employed","Female","44938","Suburban","Married","Branch","Basic","Personal","Luxury Car","Large","183","42","7","1308","3","2952","4734"
"87","AL43715","Nevada","Master","Employed","Male","67541","Rural","Married","Agent","Premium","Personal","Four-Door Car","Midsize","104","24","10","1591","3","3129","-633"
"88","AL46984","California","High School","Employed","Male","43259","Suburban","Married","Branch","Basic","Personal","Four-Door Car","Midsize","73","26","12","2144","4","4802","-2904"
"89","AM17304","Arizona","Master","Employed","Female","45356","Suburban","Single","Call Center","Extended","Personal","Four-Door Car","Midsize","90","59","31","1247","2","2404","2906"
"90","AM26598","Arizona","Associate","Employed","Female","89672","Urban","Married","Agent","Basic","Personal","Four-Door Car","Midsize","72","38","7","1956","2","2962","-226"
"91","AM29546","Oregon","Associate","Employed","Male","57733","Suburban","Married","Call Center","Basic","Personal","Two-Door Car","Midsize","66","46","24","2080","2","2871","165"
"92","AM30008","California","High School","Employed","Male","28327","Suburban","Single","Web","Basic","Personal","Luxury Car","Midsize","185","62","29","1808","2","2688","8782"
"93","AM34581","Oregon","Bachelor","Employed","Female","24432","Rural","Married","Branch","Extended","Corporate","Two-Door Car","Midsize","87","51","19","1074","3","1746","2691"
"94","AM36670","California","Associate","Employed","Female","54827","Rural","Single","Branch","Basic","Personal","Four-Door Car","Large","64","31","17","1255","4","3571","-1587"
"95","AM52614","Oregon","Bachelor","Employed","Female","41402","Suburban","Divorced","Branch","Basic","Personal","Sports Car","Midsize","119","50","26","1341","2","2348","3602"
"96","AM53473","Arizona","Bachelor","Employed","Female","60087","Suburban","Single","Agent","Basic","Special","Four-Door Car","Small","74","52","21","1347","3","2927","921"
"97","AM57175","Oregon","High School","Employed","Female","62473","Suburban","Divorced","Branch","Extended","Personal","Four-Door Car","Small","76","40","6","1321","2","2409","631"
"98","AM72411","Oregon","High School","Medical Leave","Male","23253","Suburban","Divorced","Branch","Basic","Personal","Two-Door Car","Midsize","61","37","20","1667","3","2533","-276"
"99","AM79057","Oregon","Bachelor","Employed","Female","69024","Urban","Married","Web","Basic","Personal","Four-Door Car","Midsize","61","45","27","2133","2","3254","-509"
"100","AM88377","California","Bachelor","Retired","Female","10180","Suburban","Married","Branch","Basic","Corporate","Two-Door Car","Midsize","65","38","17","1466","3","2904","-434"
"101","AM89558","Nevada","Associate","Retired","Male","26802","Suburban","Married","Agent","Basic","Corporate","Two-Door Car","Midsize","66","22","7","1302","3","2846","-1394"
"102","AM92343","Oregon","High School","Employed","Female","67616","Urban","Married","Agent","Extended","Personal","Four-Door Car","Midsize","96","51","25","2065","2","2520","2376"
"103","AM97901","Nevada","Associate","Employed","Female","84831","Suburban","Single","Branch","Premium","Special","Sports Car","Midsize","192","28","13","1321","2","2187","3189"
"104","AM99192","Arizona","Associate","Employed","Male","42743","Rural","Married","Call Center","Basic","Personal","SUV","Midsize","117","41","5","1838","3","3336","1461"
"105","AN32867","California","Bachelor","Employed","Male","81285","Suburban","Single","Branch","Extended","Personal","Four-Door Car","Midsize","81","48","18","1571","2","2414","1474"
"106","AN36757","Oregon","Master","Employed","Male","66851","Urban","Married","Branch","Extended","Personal","Four-Door Car","Midsize","92","39","10","1613","2","2593","995"
"107","AN57220","Oregon","Bachelor","Employed","Female","96917","Rural","Married","Web","Basic","Special","Four-Door Car","Midsize","61","39","24","1504","4","4564","-2185"
"108","AN79079","Arizona","Doctoral","Employed","Male","40870","Suburban","Married","Agent","Basic","Personal","SUV","Large","105","23","3","1578","3","4098","-1683"
"109","AN80983","Oregon","Associate","Employed","Male","85721","Suburban","Married","Web","Basic","Corporate","Four-Door Car","Midsize","65","42","12","1661","2","2523","207"
"110","AO20938","Arizona","High School","Employed","Female","31433","Suburban","Married","Call Center","Basic","Personal","SUV","Small","100","29","5","1120","2","2116","784"
"111","AO40386","Oregon","Associate","Retired","Male","27504","Suburban","Divorced","Branch","Extended","Personal","Four-Door Car","Small","91","38","26","1428","2","2432","1026"
"112","AO42003","Oregon","Associate","Employed","Female","55907","Suburban","Married","Agent","Basic","Corporate","SUV","Large","104","36","23","1537","3","3133","611"
"113","AO74776","California","High School","Employed","Female","27824","Suburban","Married","Agent","Basic","Personal","SUV","Large","118","58","32","1236","2","2059","4785"
"114","AO77635","California","Associate","Employed","Female","28987","Rural","Married","Branch","Basic","Personal","SUV","Midsize","102","39","8","1148","4","3881","97"
"115","AO98601","Washington","Bachelor","Employed","Male","54500","Suburban","Married","Agent","Basic","Corporate","Two-Door Car","Small","63","54","28","2207","2","2986","416"
"116","AP27994","Oregon","High School","Disabled","Female","23124","Suburban","Married","Agent","Basic","Special","Sports Car","Midsize","112","52","27","1734","3","3040","2784"
"117","AP47670","California","High School","Employed","Male","29465","Suburban","Married","Call Center","Basic","Personal","Four-Door Car","Midsize","63","32","6","1825","2","3020","-1004"
"118","AP52126","Oregon","Associate","Employed","Female","68562","Rural","Married","Branch","Basic","Personal","SUV","Midsize","108","59","29","1291","3","3377","2995"
"119","AP52565","Arizona","High School","Employed","Female","70328","Urban","Married","Branch","Extended","Corporate","Four-Door Car","Midsize","84","47","11","2299","2","3196","752"
"120","AP56340","Washington","Bachelor","Disabled","Male","13103","Suburban","Married","Agent","Basic","Personal","Four-Door Car","Midsize","72","36","21","1548","2","1783","809"
"121","AP59947","California","Bachelor","Employed","Female","55843","Suburban","Married","Call Center","Basic","Corporate","Two-Door Car","Midsize","64","26","3","1159","2","1975","-311"
"122","AP66226","Nevada","Bachelor","Medical Leave","Male","18505","Suburban","Married","Web","Basic","Personal","Four-Door Car","Midsize","66","28","15","1840","2","2358","-510"
"123","AP67935","California","Associate","Employed","Male","64749","Urban","Married","Branch","Basic","Special","Four-Door Car","Midsize","64","50","24","1557","2","2464","736"
"124","AP89323","Nevada","Associate","Employed","Female","40516","Suburban","Divorced","Agent","Basic","Personal","Four-Door Car","Small","70","34","9","1320","2","2413","-33"
"125","AP95078","Oregon","Bachelor","Employed","Male","37229","Suburban","Married","Branch","Basic","Personal","Four-Door Car","Midsize","67","37","9","2403","2","3193","-714"
"126","AQ25590","Washington","High School","Medical Leave","Female","20282","Suburban","Divorced","Agent","Extended","Personal","Two-Door Car","Midsize","79","47","19","1182","2","1950","1763"
"127","AQ51159","Arizona","High School","Employed","Female","38676","Rural","Married","Branch","Basic","Personal","Four-Door Car","Midsize","72","46","24","1140","3","2746","566"
"128","AQ51368","Oregon","Bachelor","Employed","Female","72540","Suburban","Married","Call Center","Extended","Corporate","Two-Door Car","Midsize","88","40","7","1125","2","2075","1445"
"129","AQ52711","Oregon","Bachelor","Employed","Female","65337","Suburban","Married","Agent","Premium","Personal","SUV","Large","173","25","9","1191","3","2993","1332"
"130","AQ70619","California","High School","Employed","Male","71024","Urban","Married","Agent","Basic","Corporate","Four-Door Car","Midsize","65","61","26","1853","2","2658","1307"
"131","AQ91207","California","High School","Employed","Male","38667","Urban","Married","Branch","Basic","Personal","Four-Door Car","Midsize","63","22","9","1634","4","4394","-3008"
"132","AQ94108","Oregon","Associate","Employed","Female","56704","Rural","Married","Branch","Basic","Corporate","Four-Door Car","Midsize","71","55","33","1318","3","2804","1101"
"133","AR17553","California","Master","Medical Leave","Male","22944","Suburban","Married","Branch","Extended","Corporate","Four-Door Car","Midsize","80","62","26","1447","2","2257","2703"
"134","AR25213","Arizona","High School","Employed","Male","40858","Suburban","Married","Agent","Basic","Personal","Luxury SUV","Large","184","23","10","2172","2","2426","1806"
"135","AR40217","Oregon","High School","Employed","Female","42754","Urban","Divorced","Agent","Basic","Personal","Two-Door Car","Midsize","65","18","5","1542","4","3411","-2241"
"136","AR47849","Nevada","Bachelor","Employed","Female","48567","Suburban","Single","Agent","Extended","Personal","SUV","Midsize","130","38","12","1164","2","2235","2705"
"137","AR69517","California","Associate","Retired","Male","25251","Suburban","Divorced","Web","Basic","Corporate","Four-Door Car","Midsize","66","41","13","1622","2","2435","271"
"138","AR75105","California","Associate","Retired","Female","21073","Suburban","Divorced","Agent","Basic","Personal","SUV","Small","106","52","25","1204","2","2006","3506"
"139","AR83514","Arizona","High School","Employed","Female","59522","Suburban","Married","Web","Extended","Corporate","Four-Door Car","Small","89","16","0","1363","1","1363","61"
"140","AR96516","Oregon","Bachelor","Employed","Female","50217","Suburban","Married","Web","Basic","Personal","Two-Door Car","Midsize","74","50","18","1061","4","3269","431"
"141","AS17174","Oregon","High School","Employed","Male","95697","Rural","Married","Agent","Basic","Personal","Two-Door Car","Midsize","61","52","16","1968","3","3780","-608"
"142","AS18084","California","Associate","Medical Leave","Female","25370","Suburban","Married","Branch","Basic","Personal","Sports Car","Large","102","46","10","1547","3","3105","1587"
"143","AS26192","Oregon","High School","Employed","Male","50406","Rural","Divorced","Call Center","Basic","Corporate","Four-Door Car","Midsize","70","55","20","2357","2","3232","618"
"144","AS48176","Oregon","Bachelor","Retired","Male","14973","Suburban","Divorced","Branch","Basic","Personal","SUV","Midsize","115","18","2","1469","2","2153","-83"
"145","AS55478","Oregon","Bachelor","Employed","Male","26670","Suburban","Married","Call Center","Extended","Corporate","Four-Door Car","Small","98","49","23","1912","2","2797","2005"
"146","AS60178","Nevada","Bachelor","Employed","Female","54655","Urban","Married","Agent","Basic","Corporate","Four-Door Car","Small","70","56","34","1709","3","2981","939"
"147","AS77287","California","Associate","Disabled","Male","25452","Suburban","Single","Agent","Basic","Personal","Sports Car","Midsize","107","56","20","1429","3","2935","3057"
"148","AS78838","California","Bachelor","Medical Leave","Male","29735","Suburban","Single","Agent","Basic","Personal","Four-Door Car","Midsize","69","34","3","1595","3","3371","-1025"
"149","AS93181","Arizona","Bachelor","Disabled","Female","14985","Suburban","Married","Call Center","Basic","Personal","Sports Car","Midsize","116","39","12","1325","3","2823","1701"
"150","AS97690","Arizona","Associate","Employed","Male","54483","Suburban","Married","Call Center","Basic","Personal","Two-Door Car","Midsize","61","27","6","1440","3","2446","-799"
"151","AT13963","Washington","Master","Employed","Female","43946","Urban","Divorced","Call Center","Extended","Corporate","Sports Car","Midsize","133","36","13","1888","2","2538","2250"
"152","AT18041","California","High School","Employed","Female","63471","Suburban","Married","Agent","Basic","Personal","Two-Door Car","Large","67","30","0","1024","1","1024","986"
"153","AT24793","Oregon","Associate","Employed","Male","25352","Suburban","Married","Call Center","Premium","Special","Sports Car","Midsize","173","27","10","2208","2","3140","1531"
"154","AT26484","Nevada","Associate","Employed","Male","25221","Suburban","Married","Web","Premium","Special","Four-Door Car","Small","103","22","10","2164","2","2671","-405"
"155","AT29024","California","High School","Employed","Female","27005","Suburban","Married","Agent","Basic","Corporate","Four-Door Car","Small","61","37","10","1324","3","2894","-637"
"156","AT30076","Nevada","High School","Employed","Female","31727","Suburban","Single","Agent","Extended","Personal","Four-Door Car","Small","92","30","1","1163","3","2611","149"
"157","AT31367","California","Associate","Retired","Female","18577","Suburban","Divorced","Branch","Extended","Corporate","Four-Door Car","Midsize","86","49","21","1349","3","2491","1723"
"158","AT33529","California","Doctoral","Employed","Female","30893","Rural","Divorced","Branch","Basic","Corporate","Four-Door Car","Midsize","70","42","25","1556","3","3356","-416"
"159","AT41276","California","Bachelor","Employed","Male","36554","Suburban","Married","Call Center","Basic","Personal","Two-Door Car","Small","70","29","6","1864","3","3370","-1340"
"160","AT49447","California","Bachelor","Employed","Male","99359","Rural","Married","Call Center","Extended","Personal","Two-Door Car","Midsize","95","36","16","2356","3","4242","-822"
"161","AT55072","Arizona","Associate","Employed","Male","65733","Suburban","Married","Agent","Premium","Personal","Four-Door Car","Midsize","113","31","13","2178","2","2976","527"
"162","AT79008","California","Bachelor","Employed","Female","40006","Rural","Divorced","Branch","Premium","Personal","Two-Door Car","Midsize","114","69","34","1142","2","1925","5941"
"163","AT84725","Washington","Associate","Retired","Male","28215","Suburban","Single","Agent","Basic","Personal","Two-Door Car","Midsize","65","36","15","1363","3","3107","-767"
"164","AT86990","Arizona","Bachelor","Employed","Female","28738","Rural","Divorced","Agent","Basic","Personal","Two-Door Car","Midsize","62","33","2","1127","2","2077","-31"
"165","AT89553","California","Associate","Retired","Male","23091","Suburban","Married","Agent","Extended","Personal","Four-Door Car","Midsize","96","47","28","1087","2","2085","2427"
"166","AT93647","California","Associate","Employed","Female","60252","Urban","Married","Agent","Basic","Personal","Four-Door Car","Midsize","65","22","10","1483","3","3415","-1985"
"167","AU11344","Oregon","Bachelor","Employed","Female","35666","Rural","Divorced","Call Center","Extended","Personal","SUV","Small","131","40","12","1175","2","1752","3488"
"168","AU13233","California","High School","Employed","Female","71401","Urban","Married","Agent","Basic","Personal","Four-Door Car","Midsize","73","49","15","1564","2","2786","791"
"169","AU23837","Oregon","Bachelor","Employed","Female","64014","Urban","Single","Agent","Basic","Corporate","Four-Door Car","Large","63","48","26","1777","2","2299","725"
"170","AU45793","Arizona","Doctoral","Employed","Male","30817","Rural","Divorced","Branch","Extended","Corporate","Four-Door Car","Midsize","88","46","25","1506","2","2428","1620"
"171","AU62013","California","Doctoral","Employed","Female","67572","Urban","Married","Branch","Basic","Personal","Sports Car","Small","102","23","7","1853","3","2777","-431"
"172","AU71562","Washington","High School","Employed","Female","27179","Suburban","Married","Branch","Basic","Personal","Four-Door Car","Midsize","74","64","32","1334","3","2872","1864"
"173","AU75025","Oregon","Associate","Employed","Male","58089","Suburban","Married","Agent","Basic","Personal","SUV","Midsize","118","45","31","2122","3","4368","942"
"174","AU77281","Oregon","Associate","Employed","Female","63860","Urban","Married","Agent","Basic","Personal","Four-Door Car","Midsize","62","50","26","1791","2","2559","541"
"175","AU91447","Oregon","Doctoral","Employed","Male","40870","Suburban","Married","Agent","Basic","Special","SUV","Large","105","18","3","1809","3","3955","-2065"
"176","AU94279","California","High School","Employed","Male","24976","Suburban","Single","Agent","Basic","Personal","Two-Door Car","Midsize","72","36","2","2071","3","3849","-1257"
"177","AU98438","Arizona","Bachelor","Employed","Female","94812","Rural","Married","Branch","Basic","Personal","Four-Door Car","Midsize","70","29","11","1226","3","3586","-1556"
"178","AV17528","Nevada","High School","Employed","Female","42600","Suburban","Married","Branch","Basic","Personal","Sports Car","Midsize","115","31","10","1331","2","1916","1649"
"179","AV49798","Arizona","Associate","Employed","Male","94263","Rural","Married","Branch","Extended","Personal","Four-Door Car","Midsize","98","64","33","2279","2","3180","3092"
"180","AV72430","Oregon","Master","Employed","Male","75526","Suburban","Married","Branch","Premium","Personal","Four-Door Car","Small","103","47","26","1634","2","2622","2219"
